               Token       Position in ST 
                main                   -1 
                   (                   -1 
                   )                   -1 
                   {                   -1 
               ident                    1 
                   ,                   -1 
               ident                    3 
                   :                   -1 
             Integer                   -1 
                   ;                   -1 
                read                   -1 
                  >>                   -1 
               ident                    1 
                  >>                   -1 
               ident                    3 
                   ;                   -1 
               ident                    2 
                   :                   -1 
             Integer                   -1 
                   =                   -1 
               const                    0 
                   ;                   -1 
                  if                   -1 
                   (                   -1 
               ident                    1 
                   >                   -1 
               ident                    3 
                   )                   -1 
                   {                   -1 
               ident                    2 
                   =                   -1 
               ident                    1 
                   ;                   -1 
                   }                   -1 
                else                   -1 
                   {                   -1 
               ident                    2 
                   =                   -1 
               ident                    3 
                   ;                   -1 
                   }                   -1 
               write                   -1 
                  <<                   -1 
               ident                    2 
                   ;                   -1 
                   }                   -1 
