                                   Index                                     Info                                   Parent                             Left Sibling 
                                       0                                  program                                       -1                                       -1 
                                       1                                     main                                        0                                       -1 
                                       2                                        (                                        0                                        1 
                                       3                                        )                                        0                                        2 
                                       4                                        {                                        0                                        3 
                                       5                                statement                                        0                                        4 
                                       6                                        }                                        0                                        5 
                                       7                    declaration_statement                                        5                                       -1 
                                       8           variable_declaration_statement                                        7                                       -1 
                                       9                          identifier_list                                        8                                       -1 
                                      10                                        :                                        8                                        9 
                                      11                                     type                                        8                                       10 
                                      12                                        =                                        8                                       11 
                                      13                               expression                                        8                                       12 
                                      14                                        ;                                        8                                       13 
                                      15                               identifier                                        9                                       -1 
                                      16                                  Integer                                       11                                       -1 
                                      17                        string_expression                                       13                                       -1 
                                      18                                 constant                                       17                                       -1 
