                                   Index                                     Info                                   Parent                             Left Sibling 
                                       0                                  program                                       -1                                       -1 
                                       1                                     main                                        0                                       -1 
                                       2                                        (                                        0                                        1 
                                       3                                        )                                        0                                        2 
                                       4                                        {                                        0                                        3 
                                       5                                statement                                        0                                        4 
                                       6                                        }                                        0                                        5 
                                       7                    declaration_statement                                        5                                       -1 
                                       8                                statement                                        5                                        7 
                                       9              array_declaration_statement                                        7                                       -1 
                                      10                          identifier_list                                        9                                       -1 
                                      11                                        :                                        9                                       10 
                                      12                                     type                                        9                                       11 
                                      13                                        [                                        9                                       12 
                                      14                                        ]                                        9                                       13 
                                      15                                        ;                                        9                                       14 
                                      16                               identifier                                       10                                       -1 
                                      17                                  Integer                                       12                                       -1 
                                      18                    declaration_statement                                        8                                       -1 
                                      19                                statement                                        8                                       18 
                                      20           variable_declaration_statement                                       18                                       -1 
                                      21                          identifier_list                                       20                                       -1 
                                      22                                        :                                       20                                       21 
                                      23                                     type                                       20                                       22 
                                      24                                        ;                                       20                                       23 
                                      25                               identifier                                       21                                       -1 
                                      26                                        ,                                       21                                       25 
                                      27                          identifier_list                                       21                                       26 
                                      28                               identifier                                       27                                       -1 
                                      29                                  Integer                                       23                                       -1 
                                      30                           read_statement                                       19                                       -1 
                                      31                                statement                                       19                                       30 
                                      32                                     read                                       30                                       -1 
                                      33                              read_helper                                       30                                       32 
                                      34                                        ;                                       30                                       33 
                                      35                                       >>                                       33                                       -1 
                                      36                               identifier                                       33                                       35 
                                      37                     assignment_statement                                       31                                       -1 
                                      38                                statement                                       31                                       37 
                                      39                               identifier                                       37                                       -1 
                                      40                                        =                                       37                                       39 
                                      41                               expression                                       37                                       40 
                                      42                                        ;                                       37                                       41 
                                      43                        string_expression                                       41                                       -1 
                                      44                                 constant                                       43                                       -1 
                                      45                          while_statement                                       38                                       -1 
                                      46                                    while                                       45                                       -1 
                                      47                                        (                                       45                                       46 
                                      48                                condition                                       45                                       47 
                                      49                                        )                                       45                                       48 
                                      50                                        {                                       45                                       49 
                                      51                                statement                                       45                                       50 
                                      52                                        }                                       45                                       51 
                                      53                               expression                                       48                                       -1 
                                      54                                 relation                                       48                                       53 
                                      55                               expression                                       48                                       54 
                                      56                        string_expression                                       53                                       -1 
                                      57                               identifier                                       56                                       -1 
                                      58                                        <                                       54                                       -1 
                                      59                        string_expression                                       55                                       -1 
                                      60                               identifier                                       59                                       -1 
                                      61                           read_statement                                       51                                       -1 
                                      62                                statement                                       51                                       61 
                                      63                                     read                                       61                                       -1 
                                      64                              read_helper                                       61                                       63 
                                      65                                        ;                                       61                                       64 
                                      66                                       >>                                       64                                       -1 
                                      67                               identifier                                       64                                       66 
                                      68                          write_statement                                       62                                       -1 
                                      69                                statement                                       62                                       68 
                                      70                                    write                                       68                                       -1 
                                      71                             write_helper                                       68                                       70 
                                      72                                        ;                                       68                                       71 
                                      73                                       <<                                       71                                       -1 
                                      74                               identifier                                       71                                       73 
                                      75                     assignment_statement                                       69                                       -1 
                                      76                               identifier                                       75                                       -1 
                                      77                                        =                                       75                                       76 
                                      78                               expression                                       75                                       77 
                                      79                                        ;                                       75                                       78 
                                      80                           int_expression                                       78                                       -1 
                                      81                               identifier                                       80                                       -1 
                                      82                                        +                                       80                                       81 
                                      83                           int_expression                                       80                                       82 
                                      84                                 constant                                       83                                       -1 
